Sample,Date,Month,Site,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
POCO6.18.09.20,9/18/2020,September,POCO,6,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",80.924,8.755,-0.143,1.406,2.168,3.13,0.143,1.406,3820.117,254.253,7.826,0.002,-3812.291,0.109,-660.905,3.034,-1.601,Gravelly Muddy Sand,0,13.814,66.164,20.021,0,0,0,0,9.729,4.086,6.565,10.56,19.536,15.634,13.869,0,20.021
POCO8.18.09.20,9/18/2020,September,POCO,8,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",37.01,8.896,-0.273,1.331,2.659,3.153,0.273,1.331,1830.611,237.125,5.402,0.003,-1825.209,0.105,-558.473,3.093,-1.629,Gravelly Muddy Sand,0,8.94,66.701,24.36,0,0,0,0,4.089,4.851,8.305,11.787,19.917,13.787,12.905,0,24.36
POCO12.18.09.20,9/18/2020,September,POCO,12,"Coarse Sand,Very Poorly Sorted,Fine Skewed,Platykurtic",2659.335,5.22,-0.276,0.673,0.11,2.384,0.276,0.673,6098.402,1304.708,85.828,0.014,-6012.573,0.058,-3821.968,4.139,-2.049,Sandy Gravel,0,42.001,53.86,4.139,0,0,0,0,25.538,16.463,12.98,9.046,10.31,8.536,12.988,0,4.139
POCO14.18.09.20,9/18/2020,September,POCO,14,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",92.363,9.464,-0.176,1.33,2.042,3.243,0.176,1.33,4273.748,293.618,7.46,0.002,-4266.288,0.094,-772.938,3.266,-1.708,Gravelly Muddy Sand,0,15.644,63.863,20.493,0,0,0,0,11.056,4.589,6.821,11.798,20.491,11.796,12.958,0,20.493
RH6.18.09.20,9/18/2020,September,RH,6,"Coarse Sand,Very Poorly Sorted,Symmetrical,Platykurtic",989.468,4.935,0.039,0.781,0.703,2.303,-0.039,0.781,4804.584,555.432,82.292,0.017,-4722.292,0.077,-2202.601,3.601,-1.848,Gravelly Sand,0,28.904,65.721,5.375,0,0,0,0,13.595,15.31,11.837,11.146,16.979,13.895,11.864,0,5.375
RH7.18.09.20,9/18/2020,September,RH,7,"Coarse Sand,Very Poorly Sorted,Symmetrical,Platykurtic",1208.044,4.757,-0.028,0.71,0.595,2.25,0.028,0.71,4923.133,687.587,85.501,0.017,-4837.631,0.073,-2383.821,3.698,-1.887,Sandy Gravel,0,31.106,65.397,3.497,0,0,0,0,14.277,16.829,12.602,11.991,14.485,11.728,14.591,0,3.497
RH8.18.09.20,9/18/2020,September,RH,8,"Coarse Sand,Very Poorly Sorted,Symmetrical,Mesokurtic",639.557,6.703,-0.074,0.966,0.927,2.745,0.074,0.966,4681.917,482.21,65.154,0.014,-4616.763,0.063,-2054.836,3.975,-1.991,Gravelly Muddy Sand,0,26.856,63.818,9.326,0,0,0,0,12.938,13.917,11.575,10.795,14.823,12.9,13.725,0,9.326
RH9.18.09.20,9/18/2020,September,RH,9,"Very Coarse Sand,Poorly Sorted,Symmetrical,Platykurtic",4170.729,3.922,-0.043,0.791,-0.059,1.972,0.043,0.791,5552.604,1011.359,150.655,0.027,-5401.949,0.11,-2777.006,3.02,-1.595,Sandy Gravel,0,35.75,63.025,1.225,0,0,0,0,18.981,16.769,14.486,13.779,20.047,8.128,6.586,0,1.225
RH13.18.09.20,9/18/2020,September,RH,13,"Medium Sand,Very Poorly Sorted,Coarse Skewed,Mesokurtic",139.104,8.14,0.149,1.056,1.741,3.025,-0.149,1.056,4018.296,184.368,12.041,0.003,-4006.255,0.056,-1305.122,4.215,-2.076,Gravelly Muddy Sand,0,20.284,63.128,16.588,0,0,0,0,10.066,10.218,8.861,7.628,8.391,11.008,27.24,0,16.588
CL1.03.10.20,10/3/2020,October,CL,1,"Very Coarse Sand,Poorly Sorted,Symmetrical,Very Platykurtic",5270.154,3.884,0.083,0.637,-0.258,1.958,-0.083,0.637,6575.861,1000.123,249.104,0.038,-6326.757,0.076,-4529.945,3.636,-1.862,Sandy Gravel,0,41.652,56.506,1.842,0,0,0,0,35.358,6.294,8.35,13.613,26.358,5.39,2.796,0,1.842
