Sample,Date,Month,Site,Location,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
Cal17.7.15.2021,7.15.2021,July,Cal,Mid,17,"Coarse Sand,Moderately Sorted,Very Coarse Skewed,Leptokurtic",1326.866,1.99,0.479,1.412,0.954,0.993,-0.479,1.412,1823.44,439.288,276.831,0.152,-1546.609,0.491,-340.896,1.427,-0.513,Gravelly Sand,0,8.986,90.998,0.016,0,0,0,0,2.315,6.671,7.604,22.196,60.046,1.089,0.064,0,0.016
Cal3.7.15.2021,7.15.2021,July,Cal,Start,3,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Leptokurtic",1558.638,2.169,0.496,1.12,0.785,1.117,-0.496,1.12,2023.755,463.216,278.247,0.137,-1745.509,0.391,-524.458,1.599,-0.677,Gravelly Sand,0,10.114,89.828,0.057,0,0,0,0,3.405,6.709,11.577,22.312,54.398,1.417,0.125,0,0.057
Kelly18.7.15.2021,7.15.2021,July,Kelly,End,18,"Medium Sand,Moderately Well Sorted,Very Coarse Skewed,Leptokurtic",937.981,1.498,0.303,1.324,1.304,0.583,-0.303,1.324,705.971,389.169,271.341,0.384,-434.631,0.637,-176.926,1.253,-0.325,Slightly Gravelly Sand,0,2.138,97.821,0.041,0,0,0,0,0.285,1.854,3.386,16.682,76.88,0.49,0.383,0,0.041
Kelly8.5.7.15.2021,7.15.2021,July,Kelly,Mid,8.5,"Medium Sand,Well Sorted,Coarse Skewed,Mesokurtic",808.742,1.313,0.125,0.984,1.447,0.392,-0.125,0.984,499.74,366.874,269.333,0.539,-230.407,0.68,-142.62,1.213,-0.279,Slightly Gravelly Sand,0,0.918,99.05,0.032,0,0,0,0,0.221,0.697,1.319,7.695,89.707,0.249,0.079,0,0.032
Kelly2.7.15.2021,7.15.2021,July,Kelly,Start,2,"Medium Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",1174.125,1.629,0.282,1.13,1.13,0.704,-0.282,1.13,938.124,437.189,278.604,0.297,-659.519,0.532,-289.842,1.371,-0.455,Slightly Gravelly Sand,0,2.535,97.432,0.033,0,0,0,0,0.334,2.201,5.926,29.622,61.535,0.239,0.11,0,0.033
AB23.7.16.2021,7.16.2021,July,AB,End,23,"Very Coarse Sand,Poorly Sorted,Very Coarse Skewed,Very Platykurtic",4390.533,3.377,0.431,0.531,-0.174,1.756,-0.431,0.531,6629.063,726.675,298.459,0.045,-6330.604,0.079,-4605.025,3.557,-1.831,Sandy Gravel,0,39.901,60.097,0.003,0,0,0,0,36.874,3.027,5.344,17.206,37.01,0.503,0.034,0,0.003
AB15.5.7.16.2021,7.16.2021,July,AB,Mid,15.5,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Leptokurtic",1549.535,2.572,0.425,1.248,0.731,1.363,-0.425,1.248,2885.12,468.318,254.211,0.088,-2630.909,0.341,-617.773,1.712,-0.776,Gravelly Sand,0,13.4,86.058,0.542,0,0,0,0,6.968,6.432,10.16,22.154,45.379,6.33,2.034,0,0.542
AB5.7.16.2021,7.16.2021,July,AB,Start,5,"Very Coarse Sand,Poorly Sorted,Very Coarse Skewed,Very Platykurtic",4020.489,3.232,0.461,0.575,-0.09,1.692,-0.461,0.575,6111.047,683.698,301.923,0.049,-5809.124,0.099,-3675.289,3.175,-1.667,Sandy Gravel,0,32.645,67.348,0.007,0,0,0,0,25.735,6.91,9.795,21.723,35.502,0.308,0.019,0,0.007
Brid25.7.16.2021,7.16.2021,July,Brid,End,25,"Very Coarse Sand,Poorly Sorted,Fine Skewed,Very Platykurtic",15337.059,3.334,-0.266,0.547,-0.796,1.737,0.266,0.547,6888.099,2229.902,318.17,0.046,-6569.929,0.086,-5031.406,3.415,-1.772,Sandy Gravel,0,50.685,49.304,0.011,0,0,0,0,46.319,4.366,5.194,16.907,26.395,0.768,0.04,0,0.011
Brid12.7.16.2021,7.16.2021,July,Brid,Mid,12,"Medium Sand,Moderately Sorted,Very Coarse Skewed,Very Leptokurtic",1235.666,1.922,0.407,1.709,1.077,0.942,-0.407,1.709,1440.584,443.949,279.644,0.194,-1160.94,0.525,-301.32,1.381,-0.465,Gravelly Sand,0,7.871,92.122,0.007,0,0,0,0,4.874,2.998,4.497,27.342,59.988,0.112,0.183,0,0.007
