Bottle,Sample,Date,Water_trt,Water_rep,Tank,TA,TA_SD,Sal,pCO2,pH_meas,temp,pH_calc,CO2,HCO3,CO3,Calcite,Arag
9,8.15.2020 Vari 1 Coro L-2,8.15.2019,Variable,1,Animal,2169.48,2.94,32,2717.48,7.76,15,7.379,103.52,2103.84,26.46,0.64,0.41
10,8.15.2020 Vari 1 Header,8.15.2019,Variable,1,Header,2130.05,1.29,32,1990.03,7.8,15,7.502,75.81,2045.04,34.14,0.83,0.53
3,8.15.2020 Vari 2 Clam 2-1,8.15.2019,Variable,2,Animal,2069.91,100.92,32,2492.32,7.68,15,7.396,94.94,2004.34,26.19,0.64,0.41
1,8.15.2020 Vari 2 Header,8.15.2019,Variable,2,Header,2149.23,8.24,32,2561.6,7.73,15,7.4,97.58,2080.97,27.46,0.67,0.43
5,8.15.2020 Vari 3 Coro U-1,8.15.2019,Variable,3,Animal,2136.09,0.11,32,2672.45,7.62,15,7.38,101.8,2071.2,26.08,0.63,0.4
12,8.15.2020 Vari 3 Header,8.15.2019,Variable,3,Header,2129.01,1.5,32,2700.16,7.71,15,7.374,102.86,2065.13,25.66,0.62,0.4
18,8.22.2020 Acid 1 Coro L-1,8.22.2019,Acidified,1,Animal,2175.05,1.5,33,2145.92,7.66,15,7.476,81.29,2090.95,33.78,0.82,0.52
20,8.22.2020 Acid 1 Header,8.22.2019,Acidified,1,Header,2181.17,1.27,33,2294.87,7.67,15,7.449,86.93,2101.76,31.92,0.77,0.49
19,8.22.2020 Acid 2 Clam 2-2,8.22.2019,Acidified,2,Animal,2176.62,5.33,33,2613.56,7.57,15,7.394,99,2106.56,28.15,0.68,0.44
21,8.22.2020 Acid 2 Header,8.22.2019,Acidified,2,Header,2168.34,12.55,33,5249.69,7.58,15,7.096,198.86,2132.62,14.37,0.35,0.22
23,8.22.2020 Acid 3 Coro U-3,8.22.2019,Acidified,3,Animal,2163.09,0.87,33,2381.47,7.8,15,7.43,90.21,2087.48,30.34,0.73,0.47
24,8.22.2020 Acid 3 Header,8.22.2019,Acidified,3,Header,2155.66,2.27,33,2135.52,7.78,15,7.474,80.89,2072.49,33.35,0.81,0.52
